attendance,internal_marks,assignments,study_hours,backlog_count,stress_level,risk_level
71,68,60,10.8,3,3,0
89,82,100,11.0,0,3,0
74,71,91,7.4,3,4,0
73,52,76,7.1,3,5,1
69,57,69,5.5,3,5,1
73,66,74,6.0,3,7,1
28,24,15,3.2,10,8,2
100,100,100,11.2,0,1,0
57,63,83,7.9,5,6,1
43,31,48,4.8,7,10,2
99,96,93,9.8,1,3,0
54,40,61,4.6,6,6,1
8,35,0,0.5,12,9,2
79,66,87,10.2,6,2,0
54,67,52,9.1,8,4,1
36,49,51,3.8,9,6,2
72,62,79,10.1,5,5,1
49,50,72,5.7,5,6,1
82,85,99,10.4,2,4,0
33,33,30,2.7,9,5,2
72,62,57,6.5,5,5,1
55,56,73,6.8,7,6,1
42,47,34,2.9,9,6,2
80,62,63,8.2,3,4,0
92,73,90,10.2,1,3,0
42,45,40,7.1,8,5,2
54,55,63,6.8,5,5,1
47,33,26,1.0,10,9,2
56,65,65,8.3,4,7,1
70,75,74,9.8,3,4,0
83,74,60,9.3,2,5,1
36,26,37,5.7,8,9,2
87,100,87,5.8,3,2,0
66,66,57,6.7,2,5,1
60,58,73,6.9,3,3,0
74,84,60,5.5,4,4,1
61,43,50,4.9,5,4,1
57,55,69,5.8,5,6,1
66,67,65,6.7,4,3,1
82,80,78,9.0,3,3,0
53,62,70,4.7,7,3,1
76,65,60,9.3,6,5,1
68,86,97,10.2,3,4,0
55,55,40,7.2,6,8,2
83,67,63,8.6,5,4,0
75,64,54,8.9,5,5,1
90,67,55,10.0,1,4,0
77,82,100,6.8,4,4,0
84,90,92,10.0,4,3,0
83,71,79,9.5,4,7,0
43,29,37,2.7,9,7,2
93,77,100,6.0,5,2,0
29,10,16,2.3,12,10,2
51,69,60,7.9,4,4,1
68,79,67,8.9,5,4,0
85,85,67,9.4,2,1,0
67,92,87,9.3,5,2,0
67,66,70,6.6,4,6,1
90,69,66,10.6,4,6,1
45,47,51,4.0,5,8,2
27,35,44,4.1,8,6,2
73,85,79,6.4,1,3,0
73,71,72,9.5,3,5,0
57,73,53,6.1,3,6,1
13,13,41,1.2,14,9,2
66,62,61,9.6,2,6,1
52,59,60,6.8,6,7,1
48,56,55,6.5,5,5,1
64,64,69,5.7,5,5,1
65,74,67,7.9,5,5,1
17,4,13,0.5,12,10,2
39,40,50,6.5,9,6,1
60,55,54,4.2,7,8,1
71,76,92,8.6,2,6,0
58,45,39,3.2,10,9,2
45,35,40,4.6,8,7,2
19,42,26,0.5,10,9,2
90,93,94,10.6,1,3,0
88,48,73,10.1,3,6,1
85,83,81,8.2,5,2,0
37,42,28,3.7,8,8,2
89,85,77,8.9,2,4,0
31,0,15,0.8,9,8,2
71,87,100,8.9,3,5,0
56,44,57,5.4,6,7,1
19,18,17,1.8,12,8,2
100,85,100,9.9,3,4,0
81,71,69,7.1,3,4,0
53,39,47,4.2,9,7,2
81,96,56,8.8,3,3,0
57,49,57,7.1,5,5,1
82,58,85,7.2,4,3,1
80,73,64,9.9,1,1,0
89,100,100,11.4,0,1,0
21,36,24,0.5,7,7,2
29,23,24,2.7,10,9,2
100,100,94,10.8,1,3,0
39,47,39,4.4,8,8,2
73,76,83,10.5,5,4,0
90,98,91,10.2,2,2,0
100,85,95,8.8,5,3,0
23,15,0,0.5,10,10,2
42,52,53,4.8,5,6,1
90,73,80,9.0,1,4,0
80,82,84,11.3,1,3,0
47,37,56,2.8,9,6,1
100,90,76,9.3,1,3,0
78,71,55,8.1,5,5,1
71,65,65,7.3,6,6,1
66,58,32,10.1,7,5,1
64,63,58,6.9,6,5,1
56,44,64,4.7,5,8,1
77,78,77,8.7,2,2,0
64,58,56,7.0,6,7,1
29,37,60,2.8,10,7,2
60,35,56,6.1,4,6,1
85,68,69,6.4,5,6,1
82,75,80,7.2,4,5,0
89,90,94,10.9,2,1,0
39,45,32,4.5,8,6,2
32,17,28,2.3,11,10,2
51,61,69,4.8,8,6,1
65,68,65,8.6,3,5,1
34,36,28,1.5,12,10,2
67,52,66,6.1,7,6,1
30,22,20,1.9,9,10,2
47,54,36,5.8,8,8,2
69,79,51,6.8,4,6,1
75,78,72,5.5,2,7,1
34,26,36,3.9,5,5,2
41,41,38,3.6,8,6,2
52,43,57,5.0,8,6,1
69,45,84,7.2,4,3,1
56,37,41,4.1,8,7,1
87,99,84,11.4,1,1,0
98,84,87,12.4,0,5,0
31,16,32,0.5,11,10,2
26,37,33,4.5,10,5,2
92,98,92,10.7,1,1,0
35,35,30,2.8,11,10,2
45,53,52,4.2,7,6,1
47,51,53,8.2,5,8,1
54,64,62,7.7,4,5,1
100,85,91,12.7,1,2,0
74,68,47,5.5,4,5,1
51,56,44,6.2,7,6,1
87,99,82,8.9,5,5,0
46,39,57,5.3,7,6,1
33,38,33,2.4,7,10,2
25,31,35,1.2,11,9,2
43,26,52,4.7,9,9,2
41,29,50,3.4,10,6,2
100,88,94,10.7,2,2,0
82,71,80,9.3,5,7,0
19,18,30,3.0,8,10,2
64,68,61,4.8,7,3,1
63,53,52,8.4,5,8,1
40,41,42,5.7,9,7,2
42,44,22,5.2,10,6,2
81,62,74,8.2,3,4,0
73,57,62,9.7,2,4,0
60,53,63,6.7,6,8,1
100,97,99,11.6,4,2,0
45,53,46,1.8,10,6,1
58,67,51,7.9,6,7,1
71,68,74,6.9,4,4,1
32,25,25,3.0,11,7,2
20,12,2,0.5,12,10,2
100,78,92,10.6,0,3,0
86,68,81,11.1,0,2,0
15,14,10,0.5,13,10,2
31,33,27,3.6,8,8,2
61,43,47,5.9,8,6,1
71,84,68,9.3,5,6,0
44,42,45,3.6,8,8,2
32,12,16,2.3,9,8,2
70,37,51,4.7,6,10,1
49,51,37,7.7,9,7,1
48,45,38,3.8,7,8,2
56,41,66,8.2,7,7,1
73,68,76,8.2,5,4,0
66,84,72,6.6,5,4,0
62,82,66,5.8,6,5,0
18,15,24,1.4,10,8,2
35,38,12,2.5,10,9,2
88,83,64,8.5,4,3,0
70,59,75,7.4,3,4,1
39,37,55,8.1,8,9,2
33,14,31,0.6,12,9,2
69,76,76,7.2,4,7,1
69,69,75,7.9,4,5,0
85,73,74,8.2,5,6,0
89,86,82,9.4,2,5,0
74,75,33,7.9,5,8,1
80,78,70,8.9,5,4,0
51,35,41,6.2,9,5,2
74,79,75,10.4,0,1,0
87,96,79,9.7,3,4,0
33,39,50,6.0,8,8,2
64,59,53,6.6,9,7,1
70,68,82,8.3,5,4,0
60,81,59,7.1,4,3,1
21,41,33,0.5,10,8,2
42,36,22,6.3,10,5,2
93,84,100,9.7,4,4,0
65,52,57,5.4,6,6,1
62,69,51,7.9,6,5,1
62,52,39,5.3,7,8,1
72,97,85,9.2,3,5,0
84,88,91,9.6,3,3,0
16,29,16,2.5,10,9,2
31,33,29,4.2,10,8,2
49,37,33,4.3,11,9,2
43,62,44,7.9,5,7,1
67,75,67,7.5,3,6,1
33,30,36,4.8,10,7,2
19,29,28,1.2,12,9,2
55,55,54,8.4,5,7,1
50,53,57,6.4,5,6,1
66,72,77,6.6,5,5,0
65,70,85,10.5,4,5,0
68,68,63,7.6,7,2,0
43,52,54,3.3,9,6,1
42,69,88,6.2,5,4,1
91,100,92,9.6,3,1,0
100,98,100,9.9,0,2,0
60,49,72,7.6,3,6,1
38,47,42,0.5,8,8,2
56,44,57,5.5,7,9,2
48,76,58,5.6,7,5,1
72,66,91,6.8,3,4,0
73,91,77,7.6,4,4,0
58,26,28,3.6,10,8,2
44,37,57,4.9,7,8,2
66,55,59,6.4,7,6,1
32,34,27,3.6,11,10,2
60,56,61,5.4,4,6,1
17,11,17,1.6,11,8,2
2,13,35,1.0,12,10,2
86,84,91,9.1,1,2,0
77,68,82,7.5,7,3,0
54,47,46,6.5,11,9,2
100,72,89,11.4,2,3,0
75,79,61,7.9,4,3,0
32,45,40,3.8,8,8,2
45,23,40,5.1,9,8,2
35,26,43,4.2,7,7,2
52,55,53,4.8,6,6,1
54,27,30,1.5,8,8,2
86,66,76,8.9,2,5,0
60,71,66,8.1,6,7,1
22,42,33,3.5,10,7,2
84,84,100,11.5,0,2,0
36,27,29,2.9,11,9,2
86,91,85,11.7,4,2,0
87,100,98,9.9,0,3,0
60,64,72,8.5,6,7,1
26,45,47,2.8,9,6,2
80,76,61,9.5,1,4,0
19,15,0,0.5,13,10,2
67,75,87,7.0,1,5,0
57,53,36,2.7,7,7,2
100,100,91,7.8,4,3,0
88,70,80,8.5,1,4,0
84,66,74,8.8,4,6,0
98,91,85,9.8,4,2,0
39,35,37,6.6,6,5,2
29,25,30,2.7,13,8,2
73,87,71,8.9,4,6,0
86,92,79,6.7,1,4,0
84,67,60,7.0,3,3,0
32,40,41,3.7,10,7,2
30,16,51,2.7,11,7,2
66,50,60,5.4,6,8,1
89,89,81,11.0,3,3,0
86,78,75,10.6,3,3,0
75,74,54,7.3,4,6,1
63,45,53,4.5,8,8,1
67,68,85,9.5,3,5,0
65,76,81,8.5,5,3,0
76,72,56,9.3,3,4,0
62,57,46,5.9,5,7,1
57,61,50,5.9,7,6,1
40,39,29,4.4,9,8,2
29,35,22,2.9,10,7,2
49,47,47,7.5,5,6,1
64,68,53,7.8,3,7,1
36,57,45,3.7,8,8,2
81,89,85,9.0,0,5,0
92,80,79,8.4,5,4,0
100,90,100,9.1,2,4,0
39,38,45,7.8,7,8,2
54,68,45,6.6,5,6,1
56,62,34,5.2,7,8,1
80,74,51,7.8,7,5,1
75,76,75,7.1,4,5,0
22,41,58,2.1,10,9,2
53,69,56,5.5,9,6,1
50,50,65,4.5,6,8,2
87,80,70,9.7,1,4,0
45,69,49,6.9,8,7,1
77,85,76,11.2,4,4,0
90,76,75,9.4,6,5,0
59,60,75,7.7,4,7,1
17,30,3,1.5,8,9,2
85,69,64,9.2,6,5,0
36,19,35,2.1,9,9,2
53,32,38,6.3,8,7,2
56,40,54,5.8,9,3,1
67,73,79,8.3,3,5,1
75,57,67,6.9,5,5,1
50,47,57,5.5,6,7,2
49,56,50,4.5,7,9,2
20,28,36,1.1,11,9,2
64,64,50,8.3,4,6,1
80,88,84,8.4,3,6,0
68,58,56,7.2,5,6,1
39,30,42,2.7,7,10,2
7,33,16,1.1,10,10,2
69,63,49,5.1,4,5,1
43,35,17,3.5,8,6,2
20,4,22,1.6,13,10,2
67,81,92,9.1,1,3,0
48,49,35,5.3,6,10,2
93,100,91,10.7,2,4,0
89,97,69,11.7,0,1,0
94,89,93,9.2,0,5,0
39,67,52,4.7,5,6,1
93,79,77,9.1,2,5,0
43,48,29,4.9,8,7,2
59,45,48,5.8,9,8,1
38,37,43,3.1,9,8,2
18,23,25,1.2,10,9,2
54,49,43,3.4,7,5,1
65,65,73,7.1,5,7,1
95,81,86,10.6,4,4,0
11,20,19,0.5,12,10,2
78,74,97,7.7,2,5,0
84,77,81,8.1,2,4,0
63,54,69,7.1,4,6,1
41,56,47,8.0,8,8,2
17,13,28,0.5,11,10,2
71,70,74,8.5,6,4,1
66,73,63,8.1,6,5,0
63,56,57,3.4,5,8,1
8,13,0,1.6,11,9,2
53,63,38,6.5,2,7,1
48,59,53,5.1,5,5,1
71,88,88,7.4,2,3,0
36,44,34,2.5,9,8,2
64,64,46,6.8,4,5,1
60,77,45,6.0,5,4,1
58,58,66,6.0,3,4,1
36,32,26,4.5,8,7,2
81,73,70,7.9,2,4,0
50,56,50,5.4,6,7,1
41,34,35,4.7,10,9,2
75,75,64,7.0,2,4,0
94,90,93,8.8,0,4,0
49,53,46,5.6,5,9,2
100,100,90,12.0,0,1,0
51,43,50,5.7,4,8,2
24,45,17,1.3,9,9,2
71,87,68,10.8,6,4,0
29,2,23,0.5,13,10,2
64,75,60,6.4,3,4,1
56,50,53,5.9,9,6,1
52,67,68,7.2,5,5,1
42,34,26,4.9,8,8,2
80,91,100,9.0,2,1,0
71,60,76,9.7,5,4,1
89,74,65,8.1,1,5,0
15,34,17,2.4,12,10,2
37,30,34,0.5,9,10,2
71,100,74,8.8,4,4,0
60,68,49,6.0,8,6,1
74,84,74,8.3,6,4,0
72,79,78,9.7,3,5,0
61,64,59,4.2,4,7,1
91,96,80,10.4,2,1,0
53,57,54,7.0,5,7,1
40,53,49,6.8,5,5,2
10,16,4,2.2,11,9,2
86,100,68,8.6,1,2,0
58,66,58,7.0,7,6,1
42,53,63,6.3,3,8,2
79,90,55,7.9,1,3,0
24,16,17,0.5,11,9,2
68,67,84,7.2,2,5,0
81,89,79,9.4,4,6,0
67,58,71,8.0,6,5,1
47,41,27,3.4,11,8,2
32,46,24,3.9,10,8,2
34,21,37,2.6,9,6,2
18,39,35,3.7,8,9,2
70,66,54,9.8,4,3,0
27,12,28,0.5,12,10,2
21,34,22,1.1,13,8,2
57,71,66,6.9,4,5,1
72,53,41,7.2,7,7,1
97,87,85,9.6,0,2,0
60,65,82,7.9,5,6,1
61,80,57,7.8,7,7,1
68,76,72,7.5,7,4,1
59,60,71,5.5,5,7,1
92,79,80,10.1,3,2,0
22,8,30,0.6,10,9,2
92,85,93,9.0,1,5,0
93,94,82,7.9,0,2,0
47,33,44,4.2,9,7,2
24,32,27,0.8,9,10,2
50,61,62,7.3,7,5,1
70,71,76,6.2,3,5,1
56,48,58,8.9,4,6,1
90,100,95,11.5,0,2,0
73,69,55,8.1,4,3,1
69,54,75,6.3,7,6,1
55,55,55,8.4,6,5,1
51,41,40,5.1,9,7,1
62,34,75,5.2,8,5,1
89,60,75,9.0,2,3,0
24,25,31,4.1,9,8,2
61,52,61,7.8,4,5,1
71,66,54,7.0,6,4,1
68,68,72,7.3,6,5,1
69,84,71,7.5,3,4,0
92,88,79,11.0,2,1,0
45,46,65,4.3,6,5,1
75,57,67,6.8,3,7,1
32,14,36,3.3,11,8,2
59,74,55,9.1,3,5,1
96,80,95,7.7,5,5,0
79,86,99,8.2,5,3,0
27,41,51,4.6,11,7,2
47,50,53,4.3,9,8,2
68,64,51,5.5,4,6,1
68,67,66,7.9,4,8,1
77,71,64,7.1,4,6,0
29,35,33,2.0,11,6,2
68,77,79,7.0,4,4,1
74,86,83,9.6,2,1,0
54,45,45,3.1,8,6,2
88,84,79,7.8,3,6,0
96,87,100,10.9,3,3,0
85,71,69,9.9,1,3,0
63,67,70,8.8,1,5,0
60,36,39,4.1,8,8,2
31,19,21,1.1,11,6,2
10,23,10,3.3,12,10,2
97,81,78,9.2,1,4,0
23,25,32,4.5,10,8,2
55,51,52,6.9,6,7,1
43,20,44,4.5,8,6,2
32,50,49,5.1,9,8,2
76,81,62,10.2,1,3,0
51,32,35,3.2,11,7,2
30,20,37,0.5,13,9,2
72,60,55,8.1,9,5,1
86,67,66,7.5,5,5,0
69,48,26,5.7,9,7,2
38,35,49,3.6,6,7,2
78,87,74,9.2,3,4,0
49,49,41,5.2,7,6,1
51,57,55,6.9,5,6,1
27,37,26,0.8,8,10,2
90,88,88,9.5,3,3,0
48,55,38,6.2,7,6,2
69,74,97,9.0,4,5,0
48,53,38,4.5,10,7,2
65,57,49,5.6,6,7,1
93,74,80,8.7,2,5,0
58,64,33,5.3,7,5,1
88,96,86,7.8,3,3,0
62,65,54,6.7,6,5,1
81,89,73,11.1,3,6,0
44,25,23,4.8,9,9,2
89,81,88,11.1,2,1,0
100,86,100,9.6,1,2,0
54,58,61,5.8,6,8,1
55,61,54,4.3,7,8,1
62,43,65,5.0,8,9,1
21,22,22,2.1,11,9,2
57,70,70,7.9,5,6,1
83,91,84,8.7,5,6,0
83,94,99,11.2,2,1,0
35,39,23,5.5,9,8,2
92,67,80,8.7,1,2,0
46,41,54,5.1,10,8,1
21,25,16,0.5,11,10,2
81,70,73,6.5,2,6,0
63,51,59,7.0,7,4,1
34,54,33,5.6,8,7,2
78,74,73,9.9,2,2,0
70,59,59,5.3,5,7,1
49,59,62,6.8,6,6,1
29,19,8,0.5,11,10,2
57,55,64,6.4,6,3,1
84,83,88,9.7,4,4,0
84,69,87,9.1,4,4,0
34,52,33,4.5,8,8,2
79,75,84,6.6,3,4,0
55,52,51,4.0,5,5,1
99,92,86,13.7,0,2,0
43,40,35,5.1,9,8,2
94,90,81,10.4,3,5,0
100,87,88,12.8,1,4,0
76,62,77,5.9,4,5,1
38,31,37,2.5,7,7,2
94,81,82,7.3,2,4,0
35,8,18,1.8,11,9,2
58,49,46,3.8,7,8,1
30,21,26,2.1,10,8,2
72,100,87,9.2,3,5,0
45,46,50,4.7,6,7,2
51,45,59,6.2,6,6,1
63,63,64,6.7,4,4,1
32,18,14,4.5,9,5,2
64,56,49,6.6,4,2,1
52,40,73,4.6,6,8,2
49,35,39,4.5,5,7,1
58,67,78,7.5,4,6,1
38,29,38,4.3,10,8,2
86,68,65,7.6,5,6,1
67,62,64,6.5,6,6,1
23,6,0,0.7,12,10,2
78,89,80,10.7,3,5,0
53,74,69,7.2,3,6,1
93,91,76,10.9,3,5,0
47,61,60,5.0,8,5,1
44,29,54,3.4,9,7,2
15,15,13,0.5,10,10,2
81,59,95,10.0,6,5,0
30,32,19,1.2,13,10,2
34,31,35,1.0,10,7,2
71,80,72,8.5,2,5,1
76,86,89,10.5,2,6,0
81,82,88,10.5,3,6,0
18,23,33,2.6,12,9,2
29,37,39,4.8,10,9,2
47,32,53,3.7,9,4,2
36,23,38,3.9,9,6,2
95,72,72,10.1,4,8,0
68,88,94,10.0,3,4,0
86,65,72,9.5,2,3,0
80,62,85,6.8,4,4,1
46,38,41,3.4,9,8,2
66,52,70,4.9,6,5,1
60,57,50,5.6,10,5,1
70,50,76,2.9,5,6,1
76,90,66,9.4,3,3,0
79,69,78,10.2,3,6,0
51,42,40,2.8,7,7,2
49,25,31,4.0,7,10,2
32,37,23,1.4,9,9,2
53,78,68,8.9,6,4,1
30,32,29,3.5,9,10,2
87,100,91,9.6,0,3,0
54,54,47,5.3,6,5,1
74,88,92,8.2,0,1,0
82,70,87,7.9,6,6,0
54,40,52,5.6,7,7,1
83,74,60,6.3,4,3,0
69,91,89,6.3,5,4,0
83,90,75,8.9,1,3,0
74,71,67,4.1,7,5,1
60,62,66,5.2,6,5,1
47,45,38,3.6,9,7,2
82,53,77,6.9,5,7,1
98,94,93,11.0,2,4,0
56,57,39,6.5,6,5,1
84,91,100,11.9,2,2,0
65,56,42,6.4,6,8,1
47,46,50,5.6,11,7,2
82,73,76,7.6,1,4,0
62,54,54,6.3,7,6,1
45,51,42,5.5,8,6,2
59,65,54,5.6,7,7,1
51,59,43,6.2,8,4,1
28,28,18,1.7,9,7,2
52,56,61,4.3,8,6,1
77,75,68,6.2,3,4,0
77,74,66,9.4,4,4,0
60,54,55,5.3,9,5,1
91,70,67,8.1,2,3,0
64,54,49,4.0,8,6,1
88,67,86,8.7,3,4,0
30,29,22,0.7,12,8,2
47,49,46,5.0,9,9,2
27,31,60,2.2,9,8,2
84,90,76,9.6,3,2,0
52,49,65,3.6,8,4,1
29,36,35,1.9,9,6,2
45,45,38,6.1,6,8,2
26,12,13,0.5,11,10,2
69,75,50,6.9,5,5,1
39,59,19,1.6,8,7,2
65,61,55,7.6,3,5,1
100,100,83,12.7,0,2,0
23,14,9,0.9,11,9,2
98,100,99,9.3,1,4,0
57,45,52,5.9,7,6,1
